cate,cid,rank,change,diff,pn,company,name,volume,price,exp,tags
스킨,2,1,,,83040,더프트앤도프트,하이드라수더 밸런싱 래디언스 토너,310ml,"39,800원",피부 바탕을 리셋 해주는 산뜻한 물광 토너 달아오른 피부에 휴식을 주는 대용량 스마트 케어 피부 자극 테스트를 완료하여 민감한 피부도 안심하고 사용할 수 있습니다 -각질케어 + 불순물 케어 + 피부결 정돈을 한번에 해결하는 스마트 토너입니다. -내추럴 오리진이 약 95% 함유되어 피부에 수분을 공급해주고 촉촉한 물광 피부로 가꿔줍니다.,"각질관리
보습
수분공급
윤기부여
저자극
피부결정돈
피부진정"
스킨,2,2,,,105725,리얼베리어,아쿠아 수딩 토너,200ml,"22,000원","열받아 지친 피부 토닥토닥 피부장벽 진정 토너 - 수분 공급은 물론 피부 진정, 수분 보호까지 3단계 수분 순환 시스템 수분 공급, 수분 진정, 수분 보호의 3단계 시스템으로 빠른 수분 공급과 동시에 오랜 시간 촉촉한 피부 상태를 유지합니다. - 피부에 편안하게 약산성 토너 알칼리성에 가까운 건성 피부, 산성에 가까운 복합성 피부의 pH를 약산성으로 맞춰주어 피부 보호막을 지켜주고, 피부를 편안한 상태로 만들어 줍니다. - 매일 쓰는 스킨케어라 마일드하게 전성분 EWG 그린 등급 자극 받아 민감해진 피부에도 안전하게 사용할 수 있도록 인공향료, 인공색소 등 20가지 피부 유해 성분 배제는 물론 EWG 그린 등급의 성분들로만 처방하였습니다. - 건강한 피부 성분과 구조를 재현한 몰타크로스®로 진짜 피부 장벽 실현 국제 특허 MLE® 기술로 실제 건강한 피부 지질 구조를 재현한 몰타크로스®가 피부 장벽을 건강하고 탄탄하게 지켜줍니다. - 피부 진정, 보호를 위한 3-Calming Complex 판테놀, 알란토인, 마데카소사이드 성분으로 이루어진 3-Calming Complex는 악조건의 미세 외부 환경으로부터 민감해진 피부를 보호해주는 진정 복합 성분입니다.","피부재생
피부진정"
스킨,2,3,,,101670,토니모리,원더 세라마이드 모찌 토너,500ml,"9,900원","세라마이드 성분이 건조한 피부에 촉촉함과 영양을 채워 모찌처럼 쫀쫀한 피부로 가꿔주는 보습 토너 - 영양 & 보습 충전 세라마이드 함유 - 판테놀과 히알루론산으로 수분까지 꽉! - 피부가 마시는 물인만큼 순하게, 병풀추출물 & EWG 그린 등급 원료","보습
수분공급
영양공급
저자극"
스킨,2,4,a/r/r/o/w/-/r/a/n/k/-/u/p,1.0,4303,빌리프,위치헤이즐 허벌 익스트랙트 토너,200ml,"29,000원","Witch hazel 성분이 함유된 촉촉한 느낌의 건성 피부용 토너입니다. 스킨 케어 첫 단계부터 피부에 부족한 영양을 공급하고, 건조하고 푸석푸석한 피부를 부드럽고 촉촉하게 가꾸어줍니다.",영양공급
스킨,2,5,a/r/r/o/w/-/r/a/n/k/-/d/o/w/n,1.0,77236,바이오더마,하이드라비오 에센스 로션,200ml,"32,000원",피부 컨디션을 끌어올려 피부 속부터 차오르는 빛과 수분 1. 피부 컨디션을 최상으로 끌어 올려 스킨케어 효과 극대화 2. 사용할 수록 피부 본연의 수분력을 강화시키는 아쿠아지니움 바이오더마 독자 특허 적용 3. 살리실릭산 성분의 피부 결 & 톤 업그레이드 효과 4. 비타민 E 성분의 항산화 효과로 한층 어린 동안 피부,"미백
보습
부스팅"
스킨,2,6,,,104098,탬버린즈(tamburins),워터에센스 에센셜 토너,125ml,"32,000원","속당김에 지친 피부를 위한 고보습 에센셜 토너 피부 속당김은 마지막에 바르는 제품보다는 세안 후 처음 바르는 제품이 중요합니다. 탬버린즈는 오직, 속당김을 해결하기 위한 ‘처음 제품’ 에 집중하였고, 그 결과 충분한 보습을 주면서도 끈적이지 않는 에센셜 토너라는 특별한 제형이 탄생되었습니다. 다섯 가지 해양 추출물로 이루어진 씨-글루 콤플렉스는 마르지 않는 바닷속 수분을 피부 깊숙이 전달해 기분 좋은 보습 막을 형성해주고, 여덟 가지 식물성 에스트로겐이 피부 콜라겐 합성을 47% 증가하도록 도와주어 피부 본연의 보습력을 강화해 자극 없이 촉촉하고 탄력 있는 피부로 가꾸어줍니다.","보습
저자극
피부탄력"
스킨,2,7,,,21795,"클레어스(Dear,klairs)",서플 프레퍼레이션 페이셜 토너,180ml,"12,900원","스킨케어 첫 단계에서 보습을 책임지는 클레어스 토너, 한층 업그레이드 되어 돌아왔습니다! -세안 후 예민해진 피부에 수분을 공급하고 피부결을 정돈해 주며, pH 밸런스를 약산성으로 맞추어줍니다 -업그레이드된 보습성분인 리피듀어를 추가 처방해 보습 지속시간을 20%이상 길어졌습니다 -인공향료 대신 천연오일을 배합해 만든 클레어스만의 향","보습
수분공급
저자극
피부결정돈
피부진정
피부탄력"
스킨,2,8,,,11278,프리메라,오가니언스 워터,180ml,"30,000원","유기농 발아 에너지로 건강한 피부 바탕을 만드는 밑거름 스킨 케어로 피부를 진정하고 정화시켜 맑고 촉촉한 피부로 정돈해 줍니다. 발아 검은 콩이 뛰어난 항산화 효능으로 산화 스트레스로 부터 피부를 보호하며, 노폐물의 배출을 도와주는 정화 작용으로 맑은 피부로 가꿔줍니다. 어성초 새싹과 애엽 새싹이 외부 자극으로부터 피부를 편안하게 진정시키며, 피부 저항력을 향상시켜 피부가 건강한 상태를 유지하는 데에 도움을 주고, 피부 결을 부드럽게 정돈해 줍니다. 인체 구성 성분 중 하나인 아세틸 글루코사민의 마일드한 각질 관리 효과로 피부가 한층 맑고 촉촉해집니다.","각질관리
보습
피부결정돈
피부진정"
스킨,2,9,,,4305,빌리프,베르가못 허벌 익스트랙트 토너,200ml,"29,000원",Bergamot 성분과 아미노산 폴리머 성분인 폴리글루타믹 애씨드 솔루션이 함유된 Watery gel system으로 산뜻하게 흡수되면서 피부를 촉촉하게 정돈해주는 중복합 피부용 토너입니다.,
스킨,2,10,,,82090,닥터벨머(Dr.Belmeur),데일리리페어 토너,200ml,"18,000원",민감해진 피부를 진정시키고 수분을 가득 채워주는 저자극 토너. -건조하고 민감해 쉽게 연약해지는 피부를 진정시키고 수분 보습막 형성에 도움을 줍니다. -10가지 유해의심성분을 배제하여 안심하고 사용할 수 있습니다. -26가지 알러젠 가능성이 있는 향료를 배제하여 피부 자극을 최소화합니다. -피부 자극 테스트를 완료하여 걱정없이 사용가능합니다.,"보습
수분공급
저자극
피부진정"
