pn,kname,ename,exp,level,degree
105725,정제수,Water;Aqua,"피부컨디셔닝제, 용제",1,label-safety-green-large
105725,프로판디올; 프로판다이올,Propanediol,"보습제, 용제, 점도조절제, 방부제",1,label-safety-green-large
105725,글리세린,Glycerin,"변성제, 향료, 모발컨디셔닝제, 보습제, 피부보습제, 피부보호제, 점도감소제",2,label-safety-green-large
105725,카프릴릭/카프릭트리글리세라이드; 카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,"향료, 수분증발차단제",1,label-safety-green-large
105725,하이드롤라이즈드호호바에스터,Hydrolyzed Jojoba Esters,"유화안정제, 필름형성제, 모발컨디셔닝제, 수분증발차단제, 계면활성제-유화제",1,label-safety-green-large
105725,세라마이드엔피,Ceramide NP,"모발조정제, 피부교질화제",1,label-safety-green-large
105725,알란토인,Allantoin,"피부컨디셔닝제, 피부보호제",1,label-safety-green-large
105725,마데카소사이드,Madecassoside,"산화방지제, 피부컨디셔닝제, 피부보호제",1,label-safety-green-large
105725,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,"피부보습제, 피부컨디셔닝제",1,label-safety-green-large
105725,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,,1,label-safety-green-large
105725,베르가모트열매오일; 베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,향료,2,label-safety-green-large
105725,카프릴릴글라이콜,Caprylyl Glycol,"모발컨디셔닝제, 피부유연화제",1,label-safety-green-large
105725,아세틸헥사펩타이드-8,Acetyl Hexapeptide-8,,1,label-safety-green-large
105725,에칠헥실글리세린;에틸헥실글리세린,Ethylhexylglycerin,피부컨디셔닝제,1,label-safety-green-large
105725,폴리글리세릴-4카프레이트,Polyglyceryl-4 Caprate,,1,label-safety-green-large
105725,시트릭애씨드,Citric Acid,"금속이온봉쇄제, 향료, pH 조절제",2,label-safety-green-large
105725,병풀잎수,Centella Asiatica Leaf Water,피부컨디셔닝제(기타),,label-safety-gray-large
105725,디프로필렌글라이콜;다이프로필렌글라이콜,Dipropylene Glycol,"착향제, 용제, 점도감소제",1,label-safety-green-large
105725,"1,2-헥산디올; 1,2-헥산다이올","1,2-Hexanediol",용제,1,label-safety-green-large
105725,하이드로제네이티드레시틴,Hydrogenated Lecithin,"계면활성제-유화제, 현탁화제-비계면활성제, 피부컨디셔닝제",2,label-safety-green-large
105725,피토스테릴/옥틸도데실라우로일글루타메이트,Phytosteryl/Octyldodecyl Lauroyl Glutamate,수분증발차단제,1,label-safety-green-large
105725,미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이,Myristoyl/Palmitoyl Oxostearamide/Arachamide MEA,"모발컨디셔닝제, 피부보습제",1,label-safety-green-large
105725,판테놀,Panthenol,모발컨디셔닝제,1,label-safety-green-large
105725,소듐하이알루로네이트,Sodium Hyaluronate,피부컨디셔닝제,1,label-safety-green-large
105725,하이드롤라이즈드글라이코사미노글리칸,Hydrolyzed Glycosaminoglycans,"모발컨디셔닝제, 피부컨디셔닝제",1,label-safety-green-large
105725,하이알루로닉애씨드;히아루론산,Hyaluronic Acid,"피부컨디셔닝제, 점증제-수용성",1,label-safety-green-large
105725,마스틱타임꽃오일;마스티키나백리향꽃오일,Thymus Mastichina Flower Oil,착향제,,label-safety-gray-large
105725,리씨열매오일,Litsea Cubeba Fruit Oil,착향제,1,label-safety-green-large
105725,벤질글라이콜,Benzyl Glycol,용제,,label-safety-gray-large
105725,라즈베리케톤,Raspberry Ketone,"착향제, 피부컨디셔닝제(기타)",,label-safety-gray-large
105725,소듐시트레이트,Sodium Citrate,"pH 완충제, 금속이온봉쇄제, 향료, pH 조절제",1,label-safety-green-large
104098,정제수,Water;Aqua,"피부컨디셔닝제, 용제",1,label-safety-green-large
104098,글리세린,Glycerin,"변성제, 향료, 모발컨디셔닝제, 보습제, 피부보습제, 피부보호제, 점도감소제",2,label-safety-green-large
104098,나이아신아마이드,Niacinamide,"모발컨디셔닝제, 피부컨디셔닝제",1,label-safety-green-large
104098,갈락토미세스발효여과물,Galactomyces Ferment Filtrate,,,label-safety-gray-large
104098,"1,2-헥산디올; 1,2-헥산다이올","1,2-Hexanediol",용제,1,label-safety-green-large
104098,백합추출물;참나리추출물,Lilium Tigrinum Extract,피부컨디셔닝제(기타),1,label-safety-green-large
104098,하이드로제네이티드스타치하이드롤리세이트,Hydrogenated Starch Hydrolysate,"피막형성제, 보습제,  피부보습제",1,label-safety-green-large
104098,소이이소플라본; 소이아이소플라본,Soy Isoflavones,피부컨디셔닝제,1,label-safety-green-large
104098,병풀추출물;센텔라추출물,Centella Asiatica Extract;Centella Extract,피부컨디셔닝제,1,label-safety-green-large
104098,잔탄검,Xanthan Gum,"결합제, 유화안정제, 피부컨디셔닝제, 계면활성제-유화제, 점증제-수용성",1,label-safety-green-large
104098,타이칡뿌리추출물,Pueraria Mirifica Root Extract,피부컨디셔닝제,1,label-safety-green-large
104098,에칠헥실글리세린;에틸헥실글리세린,Ethylhexylglycerin,피부컨디셔닝제,1,label-safety-green-large
104098,석류나무추출물,Punica Granatum Extract,향료,1,label-safety-green-large
104098,감태추출물,Ecklonia Cava Extract,,1,label-safety-green-large
104098,다시마추출물;곤포추출물,Laminaria Japonica Extract,착향제,1,label-safety-green-large
104098,톳추출물,Hizikia Fusiforme Extract; Sargassum Fusiforme Extract,피부컨디셔닝제,,label-safety-gray-large
104098,아데노신,Adenosine,"피부컨디셔닝제, 주름개선(기능성화장품)",1,label-safety-green-large
104098,피이지-60하이드로제네이티드캐스터오일,PEG-60 Hydrogenated Castor Oil,"향료, 계면활성제-세정제, 계면활성제-용해보조제",3,label-safety-orange-large
104098,알지닌,Arginine,"향료, 모발컨디셔닝제, 스킨컨디셔닝제",1,label-safety-green-large
104098,감초추출물;감초뿌리추출물;스페인감초뿌리추출물;창과감초뿌리추출물,Glycyrrhiza Glabra (Licorice) Root Extract;Glycyrrhiza Uralensis (Licorice) Root Extract;Glycyrrhiza Inflata Root Extract,"산화방지제, 피부보습제, 피부컨디셔닝제",1,label-safety-green-large
104098,하이드로제네이티드레시틴,Hydrogenated Lecithin,"계면활성제-유화제, 현탁화제-비계면활성제, 피부컨디셔닝제",2,label-safety-green-large
104098,백단향오일;단향오일,Santalum Album (Sandalwood) Oil,착향제,2,label-safety-green-large
104098,부틸렌글라이콜,Butylene Glycol,"향료, 피부컨디셔닝제, 용제, 점도감소제",1,label-safety-green-large
104098,소듐하이알루로네이트,Sodium Hyaluronate,피부컨디셔닝제,1,label-safety-green-large
104098,글리세레스-26,Glycereth-26,"피부보습제, 점도감소제",1,label-safety-green-large
104098,베타인,Betaine,"모발컨디셔닝제, 보습제, 피부보습제",1,label-safety-green-large
104098,글라이코실트레할로스;글라이코실트레할로오스,Glycosyl Trehalose,"결합제, 유화안정제, 피막형성제, 보습제, 피부보호제",1,label-safety-green-large
104098,황기추출물;황기뿌리추출물,Astragalus Membranaceus Root Extract,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",1,label-safety-green-large
104098,카프릴릴글라이콜,Caprylyl Glycol,"모발컨디셔닝제, 피부유연화제",1,label-safety-green-large
